experiment,model,solver,mode,test_case,avg_sec,avg_iter,objective,termination,numerical_issues,presolve
1,744.mps,gurobi,primal,1,1.61,29317.00,1940256.75,OPTIMAL,no,yes
2,744.mps,gurobi,primal,2,0.72,21971.00,1940256.75,OPTIMAL,no,yes
3,744.mps,gurobi,primal,3,0.82,16951.00,1940256.75,OPTIMAL,no,yes
4,744.mps,gurobi,primal,4,1.27,18662.00,1940256.75,OPTIMAL,no,yes
5,744.mps,gurobi,primal,5,0.30,42.00,1940262.79,OPTIMAL,no,yes
6,744.mps,gurobi,primal,6,1.41,48.00,1940263.82,OPTIMAL,yes,no
7,744.mps,gurobi,primal,7,0.34,41.00,1940256.76,OPTIMAL,no,yes
8,744.mps,gurobi,primal,8,1.69,46.00,1940256.96,OPTIMAL,yes,no
9,744.mps,gurobi,jump_conic_dual,1,0.89,24304.00,1940256.75,OPTIMAL,no,yes
10,744.mps,gurobi,jump_conic_dual,2,1.86,27364.00,1940256.75,OPTIMAL,no,yes
11,744.mps,gurobi,jump_conic_dual,3,0.79,17844.00,1940256.75,OPTIMAL,no,yes
12,744.mps,gurobi,jump_conic_dual,4,0.97,18517.00,1940256.75,OPTIMAL,no,yes
13,744.mps,gurobi,jump_conic_dual,5,3.52,101.00,1940256.51,OPTIMAL,yes,no
14,744.mps,gurobi,jump_conic_dual,6,0.36,45.00,1940256.90,OPTIMAL,no,yes
15,744.mps,gurobi,jump_conic_dual,7,3.81,78.00,1940257.20,OPTIMAL,yes,no
16,744.mps,gurobi,jump_conic_dual,8,0.38,39.00,1940264.97,OPTIMAL,no,yes
17,744.mps,gurobi,general,1,0.91,25365.00,1940256.75,OPTIMAL,no,yes
18,744.mps,gurobi,general,2,1.46,24258.00,1940256.75,OPTIMAL,no,yes
19,744.mps,gurobi,general,3,0.74,17177.00,1940256.75,OPTIMAL,no,yes
20,744.mps,gurobi,general,4,1.06,19501.00,1940256.75,OPTIMAL,no,yes
21,744.mps,gurobi,general,5,5.00,167.00,1940256.91,OPTIMAL,yes,no
22,744.mps,gurobi,general,6,0.38,45.00,1940256.90,OPTIMAL,no,yes
23,744.mps,gurobi,general,7,3.43,92.00,1940258.34,OPTIMAL,yes,no
24,744.mps,gurobi,general,8,0.33,39.00,1940256.87,OPTIMAL,no,yes
25,744.mps,highs,primal,1,2.79,17987.00,1940256.75,OPTIMAL,no,yes
26,744.mps,highs,primal,2,2.00,17987.00,1940256.75,OPTIMAL,no,yes
27,744.mps,highs,primal,3,1.73,18458.00,1940256.75,OPTIMAL,no,yes
28,744.mps,highs,primal,4,4.87,24727.00,1940256.75,OPTIMAL,no,yes
29,744.mps,highs,primal,5,1.34,57.00,1940265.35,OTHER_RESULT_STATUS,yes,yes
30,744.mps,highs,jump_conic_dual,1,1.43,13455.00,1940256.75,OPTIMAL,no,yes
31,744.mps,highs,jump_conic_dual,2,0.86,13455.00,1940256.75,OPTIMAL,no,yes
32,744.mps,highs,jump_conic_dual,3,1.15,13593.00,1940256.75,OPTIMAL,no,yes
33,744.mps,highs,jump_conic_dual,4,4.46,40020.00,1940256.75,OPTIMAL,no,yes
34,744.mps,highs,jump_conic_dual,5,1.26,52.00,-1940253.71,OTHER_RESULT_STATUS,yes,yes
35,744.mps,highs,general,1,0.78,11145.00,1940256.75,OPTIMAL,no,yes
36,744.mps,highs,general,2,0.53,11145.00,1940256.75,OPTIMAL,no,yes
37,744.mps,highs,general,3,0.65,10311.00,1940256.75,OPTIMAL,no,yes
38,744.mps,highs,general,4,3.16,35796.00,1940256.75,OPTIMAL,no,yes
39,744.mps,highs,general,5,1.17,59.00,-1940251.63,OTHER_RESULT_STATUS,yes,yes
40,1416.mps,gurobi,primal,1,4.58,51644.00,3825806.63,OPTIMAL,no,yes
41,1416.mps,gurobi,primal,2,2.46,53907.00,3825806.63,OPTIMAL,no,yes
42,1416.mps,gurobi,primal,3,2.51,39408.00,3825806.63,OPTIMAL,no,yes
43,1416.mps,gurobi,primal,4,3.86,37645.00,3825806.63,OPTIMAL,no,yes
44,1416.mps,gurobi,primal,5,0.83,54.00,3825812.27,OPTIMAL,no,yes
45,1416.mps,gurobi,primal,6,3.27,51.00,3825807.91,OPTIMAL,yes,no
46,1416.mps,gurobi,primal,7,0.72,48.00,3825832.57,OPTIMAL,no,yes
47,1416.mps,gurobi,primal,8,4.73,54.00,3825806.90,OPTIMAL,yes,no
48,1416.mps,gurobi,jump_conic_dual,1,2.31,45552.00,3825806.63,OPTIMAL,no,yes
49,1416.mps,gurobi,jump_conic_dual,2,10.08,47815.00,3825806.63,OPTIMAL,no,yes
50,1416.mps,gurobi,jump_conic_dual,3,3.10,31390.00,3825806.63,OPTIMAL,no,yes
51,1416.mps,gurobi,jump_conic_dual,4,4.00,50495.00,3825806.63,OPTIMAL,no,yes
52,1416.mps,gurobi,jump_conic_dual,5,13.02,121.00,3825844.15,OPTIMAL,yes,no
53,1416.mps,gurobi,jump_conic_dual,6,0.72,48.00,3825836.45,OPTIMAL,no,yes
54,1416.mps,gurobi,jump_conic_dual,7,11.51,83.00,3825806.78,OPTIMAL,yes,no
55,1416.mps,gurobi,jump_conic_dual,8,1.02,51.00,3825806.64,OPTIMAL,no,yes
56,1416.mps,gurobi,general,1,2.11,44339.00,3825806.63,OPTIMAL,no,yes
57,1416.mps,gurobi,general,2,5.88,47985.00,3825806.63,OPTIMAL,no,yes
58,1416.mps,gurobi,general,3,3.35,29668.00,3825806.63,OPTIMAL,no,yes
59,1416.mps,gurobi,general,4,2.32,38545.00,3825806.63,OPTIMAL,no,yes
60,1416.mps,gurobi,general,5,20.75,259.00,3826033.31,OPTIMAL,yes,no
61,1416.mps,gurobi,general,6,0.69,46.00,3825838.95,OPTIMAL,no,yes
62,1416.mps,gurobi,general,7,11.94,125.00,3825846.36,OPTIMAL,yes,no
63,1416.mps,gurobi,general,8,0.85,48.00,3825838.62,OPTIMAL,no,yes
64,1416.mps,highs,primal,1,6.86,33528.00,3825806.63,OPTIMAL,no,yes
65,1416.mps,highs,primal,2,5.06,33528.00,3825806.63,OPTIMAL,no,yes
66,1416.mps,highs,primal,3,5.55,34350.00,3825806.63,OPTIMAL,no,yes
67,1416.mps,highs,primal,4,13.57,43475.00,3825806.63,OPTIMAL,no,yes
68,1416.mps,highs,primal,5,4.17,62.00,3825812.77,OTHER_RESULT_STATUS,yes,yes
69,1416.mps,highs,jump_conic_dual,1,5.76,27414.00,3825806.63,OPTIMAL,no,yes
70,1416.mps,highs,jump_conic_dual,2,3.29,27414.00,3825806.63,OPTIMAL,no,yes
71,1416.mps,highs,jump_conic_dual,3,3.34,25508.00,3825806.63,OPTIMAL,no,yes
72,1416.mps,highs,jump_conic_dual,4,19.21,97245.00,3825806.63,OPTIMAL,no,yes
73,1416.mps,highs,jump_conic_dual,5,3.78,58.00,-3825793.43,OTHER_RESULT_STATUS,yes,yes
74,1416.mps,highs,general,1,4.09,24616.00,3825806.63,OPTIMAL,no,yes
75,1416.mps,highs,general,2,2.41,24616.00,3825806.63,OPTIMAL,no,yes
76,1416.mps,highs,general,3,3.00,21775.00,3825806.63,OPTIMAL,no,yes
77,1416.mps,highs,general,4,11.39,75804.00,3825806.63,OPTIMAL,no,yes
78,1416.mps,highs,general,5,3.03,59.00,-3825794.59,OTHER_RESULT_STATUS,yes,yes
79,2160.mps,gurobi,primal,1,8.93,78620.00,5763815.28,OPTIMAL,no,yes
80,2160.mps,gurobi,primal,2,3.52,66839.00,5763815.28,OPTIMAL,no,yes
81,2160.mps,gurobi,primal,3,6.02,71231.00,5763815.28,OPTIMAL,no,yes
82,2160.mps,gurobi,primal,4,9.26,56593.00,5763815.28,OPTIMAL,no,yes
83,2160.mps,gurobi,primal,5,1.20,47.00,5763864.63,OPTIMAL,no,yes
84,2160.mps,gurobi,primal,6,6.75,59.00,5763822.07,OPTIMAL,yes,no
85,2160.mps,gurobi,primal,7,1.60,59.00,5763815.39,OPTIMAL,no,yes
86,2160.mps,gurobi,primal,8,7.80,56.00,5763825.31,OPTIMAL,yes,no
87,2160.mps,gurobi,jump_conic_dual,1,4.40,72384.00,5763815.28,OPTIMAL,no,yes
88,2160.mps,gurobi,jump_conic_dual,2,27.86,102709.00,5763815.28,OPTIMAL,no,yes
89,2160.mps,gurobi,jump_conic_dual,3,6.06,44424.00,5763815.28,OPTIMAL,no,yes
90,2160.mps,gurobi,jump_conic_dual,4,8.65,84924.00,5763815.28,OPTIMAL,no,yes
91,2160.mps,gurobi,jump_conic_dual,5,25.00,122.00,5763890.22,OPTIMAL,yes,no
92,2160.mps,gurobi,jump_conic_dual,6,2.00,65.00,5763867.68,OPTIMAL,no,yes
93,2160.mps,gurobi,jump_conic_dual,7,24.60,92.00,5763827.90,OPTIMAL,yes,no
94,2160.mps,gurobi,jump_conic_dual,8,2.50,66.00,5763816.82,OPTIMAL,no,yes
95,2160.mps,gurobi,general,1,4.08,71479.00,5763815.28,OPTIMAL,no,yes
96,2160.mps,gurobi,general,2,39.48,93379.00,5763815.28,OPTIMAL,no,yes
97,2160.mps,gurobi,general,3,6.38,44010.00,5763815.28,OPTIMAL,no,yes
98,2160.mps,gurobi,general,4,13.66,95172.00,5763815.28,OPTIMAL,no,yes
99,2160.mps,gurobi,general,5,43.46,261.00,5763877.33,OPTIMAL,yes,no
100,2160.mps,gurobi,general,6,1.91,63.00,5763833.06,OPTIMAL,no,yes
101,2160.mps,gurobi,general,7,26.72,115.00,5763950.54,OPTIMAL,yes,no
102,2160.mps,gurobi,general,8,2.67,66.00,5763861.21,OPTIMAL,no,yes
103,2160.mps,highs,primal,1,18.61,53319.00,5763815.28,OPTIMAL,no,yes
104,2160.mps,highs,primal,2,14.83,53319.00,5763815.28,OPTIMAL,no,yes
105,2160.mps,highs,primal,3,13.68,55044.00,5763815.28,OPTIMAL,no,yes
106,2160.mps,highs,primal,4,34.36,67411.00,5763815.28,OPTIMAL,no,yes
107,2160.mps,highs,primal,5,8.34,69.00,5763834.30,OTHER_RESULT_STATUS,yes,yes
108,2160.mps,highs,jump_conic_dual,1,15.01,42444.00,5763815.28,OPTIMAL,no,yes
109,2160.mps,highs,jump_conic_dual,2,9.29,42444.00,5763815.28,OPTIMAL,no,yes
110,2160.mps,highs,jump_conic_dual,3,6.70,36819.00,5763815.28,OPTIMAL,no,yes
111,2160.mps,highs,jump_conic_dual,4,40.25,132316.00,5763815.28,OPTIMAL,no,yes
112,2160.mps,highs,jump_conic_dual,5,7.94,67.00,-5763792.33,OTHER_RESULT_STATUS,yes,yes
113,2160.mps,highs,general,1,10.33,38779.00,5763815.28,OPTIMAL,no,yes
114,2160.mps,highs,general,2,6.82,38779.00,5763815.28,OPTIMAL,no,yes
115,2160.mps,highs,general,3,6.46,31905.00,5763815.28,OPTIMAL,no,yes
116,2160.mps,highs,general,4,26.49,121980.00,5763815.28,OPTIMAL,no,yes
117,2160.mps,highs,general,5,6.66,67.00,-5763787.14,OTHER_RESULT_STATUS,yes,yes
118,2880.mps,gurobi,primal,1,16.92,108037.00,7507962.41,OPTIMAL,no,yes
119,2880.mps,gurobi,primal,2,8.24,112761.00,7507962.41,OPTIMAL,no,yes
120,2880.mps,gurobi,primal,3,7.11,87845.00,7507962.41,OPTIMAL,no,yes
121,2880.mps,gurobi,primal,4,15.72,78579.00,7507962.41,OPTIMAL,no,yes
122,2880.mps,gurobi,primal,5,2.11,57.00,7507962.44,OPTIMAL,no,yes
123,2880.mps,gurobi,primal,6,10.64,56.00,7507962.69,OPTIMAL,yes,no
124,2880.mps,gurobi,primal,7,2.12,56.00,7507962.43,OPTIMAL,no,yes
125,2880.mps,gurobi,primal,8,12.72,56.00,7507962.52,OPTIMAL,yes,no
126,2880.mps,gurobi,jump_conic_dual,1,8.32,98837.00,7507962.41,OPTIMAL,no,yes
127,2880.mps,gurobi,jump_conic_dual,2,66.11,123901.00,7507962.41,OPTIMAL,no,yes
128,2880.mps,gurobi,jump_conic_dual,3,9.59,62002.00,7507962.41,OPTIMAL,no,yes
129,2880.mps,gurobi,jump_conic_dual,4,12.31,109619.00,7507962.41,OPTIMAL,no,yes
130,2880.mps,gurobi,jump_conic_dual,5,46.66,136.00,7508486.30,OPTIMAL,yes,no
131,2880.mps,gurobi,jump_conic_dual,6,3.29,66.00,7507962.46,OPTIMAL,no,yes
132,2880.mps,gurobi,jump_conic_dual,7,39.03,99.00,7507945.91,OPTIMAL,yes,no
133,2880.mps,gurobi,jump_conic_dual,8,3.94,66.00,7507962.46,OPTIMAL,no,yes
134,2880.mps,gurobi,general,1,6.03,91104.00,7507962.41,OPTIMAL,no,yes
135,2880.mps,gurobi,general,2,42.88,125758.00,7507962.41,OPTIMAL,no,yes
136,2880.mps,gurobi,general,3,9.54,61585.00,7507962.41,OPTIMAL,no,yes
137,2880.mps,gurobi,general,4,12.01,105605.00,7507962.41,OPTIMAL,no,yes
138,2880.mps,gurobi,general,5,88.79,341.00,7508529.03,OPTIMAL,yes,no
139,2880.mps,gurobi,general,6,2.86,67.00,7507962.45,OPTIMAL,no,yes
140,2880.mps,gurobi,general,7,43.14,132.00,7508141.12,OPTIMAL,yes,no
141,2880.mps,gurobi,general,8,3.79,67.00,7507962.44,OPTIMAL,no,yes
142,2880.mps,highs,primal,1,29.72,66177.00,7507962.41,OPTIMAL,no,yes
143,2880.mps,highs,primal,2,22.48,66177.00,7507962.41,OPTIMAL,no,yes
144,2880.mps,highs,primal,3,21.77,72939.00,7507962.41,OPTIMAL,no,yes
145,2880.mps,highs,primal,4,52.73,85985.00,7507962.41,OPTIMAL,no,yes
146,2880.mps,highs,primal,5,12.94,76.00,7507978.47,OTHER_RESULT_STATUS,yes,yes
147,2880.mps,highs,jump_conic_dual,1,22.97,56503.00,7507962.41,OPTIMAL,no,yes
148,2880.mps,highs,jump_conic_dual,2,12.86,56503.00,7507962.41,OPTIMAL,no,yes
149,2880.mps,highs,jump_conic_dual,3,13.39,53976.00,7507962.41,OPTIMAL,no,yes
150,2880.mps,highs,jump_conic_dual,4,74.49,192181.00,7507962.41,OPTIMAL,no,yes
151,2880.mps,highs,jump_conic_dual,5,11.99,72.00,-7507948.89,OTHER_RESULT_STATUS,yes,yes
152,2880.mps,highs,general,1,18.21,54141.00,7507962.41,OPTIMAL,no,yes
